Image Name,Caption
khajuraho_temple_87.jpg,the temple at the entrance to the park
khajuraho_temple_80.jpg,a person holding up a notebook with a drawing of a temple
khajuraho_temple_76.jpg,a large stone structure
khajuraho_temple_86.jpg,a large room with couches and chairs
khajuraho_temple_56.jpg,a large stone structure
khajuraho_temple_74.jpg,a large building with a tower in the middle of a field
khajuraho_temple_53.jpg,the temple at the entrance to the temple complex
khajuraho_temple_59.jpg,the temple at hamesh
khajuraho_temple_30.jpg,the temples of hamesh
khajuraho_temple_48.jpg,the temple of the sun temple in india
khajuraho_temple_97.jpg,the temple in the park
khajuraho_temple_5.jpg,a large stone structure
khajuraho_temple_89.jpg,hotel kuaho the view
khajuraho_temple_1.jpg,Error opening image: cannot identify image file '/content/khajuraho_temple/khajuraho_temple_1.jpg'
khajuraho_temple_27.jpg,the temple at hamesh
khajuraho_temple_78.jpg,hotel khare view
khajuraho_temple_66.jpg,the temple at hamesh
khajuraho_temple_71.jpg,the hindu temple in chira
khajuraho_temple_23.jpg,the jain temple in india
khajuraho_temple_68.jpg,the sun sets over the temple at the entrance to the temple
khajuraho_temple_45.jpg,the ruins of ang ang ang ang ang ang ang ang ang ang ang ang ang ang ang ang
khajuraho_temple_100.jpg,the temple at hamesh
khajuraho_temple_50.jpg,the temple of person in hamesh
khajuraho_temple_98.jpg,"the temple at hamesh, karnataka"
khajuraho_temple_61.jpg,a man taking a photograph of the vi vi vi vi vi vi vi vi vi vi vi vi
khajuraho_temple_95.jpg,a statue of a lion in front of a temple
khajuraho_temple_85.jpg,the ancient hindu temple in india
khajuraho_temple_60.jpg,a large stone structure
khajuraho_temple_15.jpg,Error opening image: cannot identify image file '/content/khajuraho_temple/khajuraho_temple_15.jpg'
khajuraho_temple_13.jpg,the sun sets behind the temple
khajuraho_temple_67.jpg,statue of lord shiva at maha maha maha temple in india
khajuraho_temple_36.jpg,"the hindu temple in the city of ahmedabad, india - stock image"
khajuraho_temple_35.jpg,a wall of sculptures in the hindu temple
khajuraho_temple_22.jpg,a large stone structure with many statues
khajuraho_temple_34.jpg,the temple at the top of the hill
khajuraho_temple_47.jpg,"the temple at hamesh, karnataka"
khajuraho_temple_24.jpg,the temples at the maha maha maha maha maha maha maha maha maha maha maha maha maha maha maha
khajuraho_temple_62.jpg,"the temple of the sun god, konara, konara, karnataka, india"
khajuraho_temple_32.jpg,a large white building
khajuraho_temple_83.jpg,a large stone structure
khajuraho_temple_54.jpg,a large stone structure
khajuraho_temple_84.jpg,a large grassy field
khajuraho_temple_25.jpg,the entrance to the temple at the maha maha maha maha maha maha maha maha maha maha maha maha
khajuraho_temple_64.jpg,the carvings on the facade of the cathedral of saint - louis
khajuraho_temple_70.jpg,a couple standing in front of a stone wall
khajuraho_temple_33.jpg,a woman in a pink sari walks past the intricate carvings on the walls of the sun temple
khajuraho_temple_41.jpg,"the jain temple in hamesh, karnataka"
khajuraho_temple_14.jpg,"the temple of the sun god, orissa, in the village of hamesh, karnataka,"
khajuraho_temple_18.jpg,a large stone structure
khajuraho_temple_73.jpg,the entrance to the temple
khajuraho_temple_75.jpg,"the sun temple in hamesh, karnataka"
khajuraho_temple_65.jpg,the temple of hamesh
khajuraho_temple_58.jpg,a woman in red sari standing in front of a stone structure
khajuraho_temple_51.jpg,"stock photo of the person statue, person, person, orissa, orissa, orissa"
khajuraho_temple_46.jpg,the sky is blue
khajuraho_temple_79.jpg,the entrance to the temple at the entrance to the temple
khajuraho_temple_94.jpg,a large wall of statues
khajuraho_temple_16.jpg,"the hindu temple in the city of ahmedabad, india"
khajuraho_temple_69.jpg,"the hindu temple in the city of ahmedabad, india - stock image"
khajuraho_temple_2.jpg,"the sun temple, hamesh, karnataka, india - stock image"
khajuraho_temple_43.jpg,the entrance to the temple at the entrance to the temple
khajuraho_temple_57.jpg,the temple is surrounded by trees and bushes
khajuraho_temple_17.jpg,a large group of temples
khajuraho_temple_3.jpg,a man sitting in front of a temple
khajuraho_temple_72.jpg,the temple at the top of the hill
khajuraho_temple_28.jpg,"the ancient hindu temple in the city of ahmedabad, india - stock image"
khajuraho_temple_92.jpg,the temple of vi vidhavai in the city of vijaypura
khajuraho_temple_4.jpg,"the temple of the sun temple in hamesh, karnataka"
khajuraho_temple_26.jpg,hotel the grand
khajuraho_temple_6.jpg,the temple at the entrance to the temple complex
khajuraho_temple_93.jpg,a large stone structure
khajuraho_temple_39.jpg,a hindu temple in india - stock image
khajuraho_temple_21.jpg,the temple at the entrance to the temple complex
khajuraho_temple_82.jpg,Error opening image: cannot identify image file '/content/khajuraho_temple/khajuraho_temple_82.jpg'
khajuraho_temple_63.jpg,a large building with many statues on it
khajuraho_temple_88.jpg,the entrance to the temple
khajuraho_temple_55.jpg,the temple of vidhava
khajuraho_temple_81.jpg,"kriya temple in kriya, karnataka"
khajuraho_temple_37.jpg,"a group of hindu statues in the ruins of the ancient city of hamesh, karnataka, india"
khajuraho_temple_40.jpg,a large building with many statues on it
khajuraho_temple_42.jpg,the temples of india
khajuraho_temple_99.jpg,a photo of a temple with a man standing in front of it
khajuraho_temple_12.jpg,a large stone structure
