Image Name,Caption
mysore_palace_97.jpg,a large building with a clock tower in the middle
mysore_palace_34.jpg,"the mysore mysore mysore, mysore, india stock photography"
mysore_palace_90.jpg,a large building with a clock on top
mysore_palace_2.jpg,"the mysore mysore palace in mysore, karnataka"
mysore_palace_68.jpg,the main square at sunset
mysore_palace_11.jpg,"the old building of the old railway station in the city of ahmedabad, india - stock image"
mysore_palace_57.jpg,a large building with a clock on top
mysore_palace_54.jpg,a large building lit up at night
mysore_palace_17.jpg,a large building with a red dome
mysore_palace_92.jpg,a group of men in white robes are gathered around a gold statue
mysore_palace_100.jpg,mysore mysore mysore mysore mysore mysore mysore mysore mysore mysore mysore mysore mysore mysore mysore mysore mysore mysore mysore
mysore_palace_7.jpg,"the mysore mysore palace in mysore, karnataka"
mysore_palace_73.jpg,"mysore, india mysore, india mysore, india mysore, mysore, india mysore, mysore, mysore"
mysore_palace_27.jpg,the entrance to the palace
mysore_palace_99.jpg,a large building with a red dome and green fence
mysore_palace_6.jpg,the mysore mysore mysore mysore mysore mysore mysore mysore mysore mysore mysore mysore mysore mysore mysore mysore mysore mysore
mysore_palace_46.jpg,the entrance to the city palace in lahore
mysore_palace_19.jpg,"mysore, mysore, mysore, mysore, mysore, mysore, mysore, mysore, mysore, mysore"
mysore_palace_43.jpg,"the mysore palace in mysore, karnataka"
mysore_palace_79.jpg,a large building with lights on it
mysore_palace_93.jpg,a large room with columns and a clock
mysore_palace_83.jpg,the illuminated city palace in jaipur
mysore_palace_15.jpg,a large building with a clock on top
mysore_palace_39.jpg,a large building with a clock on top
mysore_palace_84.jpg,the golden temple in thailand
mysore_palace_56.jpg,the mysore mysore mysore mysore mysore mysore mysore mysore mysore mysore mysore mysore mysore mysore mysore mysore mysore mysore
mysore_palace_36.jpg,a large building with a clock on the top
mysore_palace_87.jpg,a large building with a lot of people sitting on the ground
mysore_palace_98.jpg,a collage of a building with a clock
mysore_palace_86.jpg,the palace in mysore
mysore_palace_47.jpg,a large building with a clock on top
mysore_palace_24.jpg,"mysore, mysore, mysore, mysore, mysore, mysore, mysore, mysore, mysore, mysore"
mysore_palace_76.jpg,the interior of the temple in thailand
mysore_palace_65.jpg,a large room with a chandel and a chandel
mysore_palace_35.jpg,a long hallway with gold and blue columns
