Image Name,Caption
golden_temple_89.jpg,the golden temple at sunset
golden_temple_43.jpg,the main entrance of the temple
golden_temple_2.jpg,a large building with a clock on top
golden_temple_95.jpg,"the golden temple in amba, india"
golden_temple_49.jpg,"a man sitting on the edge of the golden temple in amrit, amrit, india -"
golden_temple_88.jpg,"golden temple in amrit, amrit, gujarat state, india"
golden_temple_14.jpg,"golden temple in amrit, amrit, punjab"
golden_temple_67.jpg,the golden temple in amsar sahib sahib sahib sahib sahib sahib sahib sahib sahib sahib sahib sahib sahib
golden_temple_59.jpg,"amritar, the golden temple in amritar"
golden_temple_82.jpg,a body of water
golden_temple_80.jpg,a bridge over a body of water
golden_temple_7.jpg,"the golden temple in amrit, india"
golden_temple_17.jpg,"golden temple at night, ambat sahib, ambat sahib sahib sahib sahib sahib sahib sahib sahib"
golden_temple_15.jpg,a body of water
golden_temple_96.jpg,"golden temple, amrit, amrit, amrit, amrit, amrit, am"
golden_temple_72.jpg,"golden temple in amrit, amrit, punjab, india"
golden_temple_22.jpg,a couple standing in front of the golden temple
golden_temple_48.jpg,the statue of person in the city of jaipur
golden_temple_11.jpg,the golden temple at night
golden_temple_35.jpg,"the golden temple in amba, india"
golden_temple_68.jpg,"the golden temple in amba, india"
golden_temple_39.jpg,a model of the golden temple in the museum of the golden temple
golden_temple_65.jpg,"golden temple in amrit, amrit, india stock photo"
golden_temple_41.jpg,"the golden temple in amba, india"
golden_temple_10.jpg,the water is calm
golden_temple_26.jpg,a large body of water
golden_temple_66.jpg,a large white statue in a plaza
golden_temple_52.jpg,the golden temple in amrit
golden_temple_30.jpg,a man sitting on the ground in front of a mosque
golden_temple_50.jpg,"stock photo of the golden temple, ambat sahib, ambat sahib, ambat sahib,"
golden_temple_47.jpg,a large white building with a clock tower
golden_temple_56.jpg,a woman standing in front of a body of water
golden_temple_42.jpg,a large body of water
golden_temple_46.jpg,the golden temple at night
golden_temple_20.jpg,"golden temple, ambat, ambat, ambat, ambat, ambat, am"
golden_temple_81.jpg,golden temple in amrit
golden_temple_63.jpg,ambar a day itinery
golden_temple_44.jpg,the golden temple in amba
golden_temple_19.jpg,a couple sitting in front of the golden temple
golden_temple_6.jpg,a large building in the middle of a body of water
golden_temple_71.jpg,"the golden temple in amrit, india"
golden_temple_57.jpg,a body of water
golden_temple_8.jpg,golden temple in amrit
golden_temple_76.jpg,a person sitting on a bench in front of a body of water
golden_temple_32.jpg,golden temple in amrit
golden_temple_70.jpg,"the golden temple in amrit, india"
golden_temple_75.jpg,"golden temple in amrit, india — stock photo"
golden_temple_61.jpg,a man standing in front of a golden building
golden_temple_5.jpg,a large building with a clock on top of it
golden_temple_90.jpg,the golden dome of the sikh temple
golden_temple_78.jpg,"the golden temple in amrit, india"
golden_temple_79.jpg,"the golden temple in amrit, india"
golden_temple_23.jpg,the golden temple in amrit
golden_temple_85.jpg,golden temple in amrit
golden_temple_38.jpg,Error opening image: cannot identify image file '/content/golden_temple/golden_temple_38.jpg'
golden_temple_64.jpg,a large golden building with a boat in the water
golden_temple_93.jpg,a body of water
golden_temple_28.jpg,"the golden temple in amba, india"
golden_temple_91.jpg,"the golden temple in amba, india"
golden_temple_9.jpg,"the golden temple at night, ambat sahib, ambat sahib sahib sahib sahib sahib sahib sahib"
golden_temple_53.jpg,the golden temple in amba
golden_temple_73.jpg,a large body of water
golden_temple_69.jpg,a group of people sitting on a dock
golden_temple_100.jpg,a large building with a clock on top of it
golden_temple_29.jpg,"the golden temple in amrit, india"
golden_temple_36.jpg,"the golden temple in amrit, india"
golden_temple_40.jpg,the golden temple at night
golden_temple_21.jpg,a body of water
golden_temple_84.jpg,"golden temple in amrit, amrit, india - stock image"
golden_temple_25.jpg,a body of water
golden_temple_92.jpg,a group of people posing for a picture
golden_temple_31.jpg,a body of water
golden_temple_37.jpg,the golden temple at night
golden_temple_18.jpg,a large building with a clock on top
golden_temple_16.jpg,"the golden temple in amba, india"
golden_temple_98.jpg,a man sitting on the edge of a body of water
golden_temple_60.jpg,a large body of water
golden_temple_24.jpg,the golden temple at night
golden_temple_27.jpg,"the golden temple in amrit, india"
golden_temple_99.jpg,a woman in a white dress standing in front of a golden temple
golden_temple_1.jpg,"the golden temple in amrit, india"
golden_temple_45.jpg,the golden temple in amba
golden_temple_13.jpg,the golden temple at night
golden_temple_34.jpg,golden temple in ambagh
golden_temple_12.jpg,"the golden temple in amba, india"
golden_temple_83.jpg,a man in a black shirt and orange hat standing in front of a body of water
golden_temple_74.jpg,a group of kols floating in the water
