Image Name,Caption
brihadeeswara_temple_39.jpg,"the temple at hamesh in hamesh, karnataka"
brihadeeswara_temple_21.jpg,"the sun temple, hamesh, hamesh district, hamesh district, hamesh district,"
brihadeeswara_temple_8.jpg,the temple is very large
brihadeeswara_temple_31.jpg,the temples of the ancient city of bhakesh
brihadeeswara_temple_6.jpg,a group of people walking around a temple
brihadeeswara_temple_44.jpg,a 3d model of the temple
brihadeeswara_temple_41.jpg,two images of a statue in a temple
brihadeeswara_temple_82.jpg,a large stone structure
brihadeeswara_temple_93.jpg,the top of the hindu temple in india
brihadeeswara_temple_69.jpg,a very old building
brihadeeswara_temple_3.jpg,the temple at night
brihadeeswara_temple_90.jpg,the colorful hindu temple in india
brihadeeswara_temple_54.jpg,the temple at hamesh
brihadeeswara_temple_60.jpg,the ancient temple of hamesh
brihadeeswara_temple_78.jpg,a statue in a city
brihadeeswara_temple_50.jpg,a large stone structure
brihadeeswara_temple_34.jpg,a large stone structure
brihadeeswara_temple_19.jpg,the temple at hamesh
brihadeeswara_temple_14.jpg,a group of people walking around a temple
brihadeeswara_temple_42.jpg,the temple at sunset
brihadeeswara_temple_32.jpg,a large stone structure
brihadeeswara_temple_9.jpg,the temple in the city of bhaksavar
brihadeeswara_temple_98.jpg,a woman sitting on a wall in front of a temple
brihadeeswara_temple_84.jpg,the maha maha maha temple in maha maha maha maha maha maha maha maha maha maha maha maha maha
brihadeeswara_temple_87.jpg,a very large building
brihadeeswara_temple_91.jpg,a stove in the ancient house of the ancient people
brihadeeswara_temple_88.jpg,the temple at hamesh
brihadeeswara_temple_35.jpg,the maha maha maha temple in india
brihadeeswara_temple_33.jpg,the elephant statue at the entrance to the temple
brihadeeswara_temple_59.jpg,the temple at hamesh
brihadeeswara_temple_66.jpg,a tall tower
brihadeeswara_temple_20.jpg,a large stone building
brihadeeswara_temple_80.jpg,a statue of an elephant in the temple
brihadeeswara_temple_24.jpg,the temple at hamesh
brihadeeswara_temple_16.jpg,a large stone structure
brihadeeswara_temple_99.jpg,the entrance to the temple at hamesh
brihadeeswara_temple_2.jpg,the temple of the sun temple in india
brihadeeswara_temple_23.jpg,"the temple of the sun temple in hamesh, karnataka"
brihadeeswara_temple_48.jpg,a man and woman standing in front of a temple
brihadeeswara_temple_64.jpg,a large brown building
brihadeeswara_temple_83.jpg,the temple at hamesh
brihadeeswara_temple_29.jpg,the temple at hamesha
brihadeeswara_temple_52.jpg,the hindu temple in india
brihadeeswara_temple_5.jpg,the temple at hamesh
brihadeeswara_temple_55.jpg,the ancient temples of hamesh
brihadeeswara_temple_72.jpg,Error opening image: cannot identify image file '/content/brihadeeswara_temple/brihadeeswara_temple_72.jpg'
brihadeeswara_temple_49.jpg,the temple at hameshi
brihadeeswara_temple_97.jpg,a statue of a elephant in the temple
brihadeeswara_temple_13.jpg,a large building with a tower and a green lawn
brihadeeswara_temple_7.jpg,a large brown building
brihadeeswara_temple_25.jpg,the temple at hamesh
brihadeeswara_temple_65.jpg,a man standing in front of a temple
brihadeeswara_temple_58.jpg,the temple at hamesha
brihadeeswara_temple_28.jpg,the temple of the sun
brihadeeswara_temple_30.jpg,the temple at the entrance to the temple complex
brihadeeswara_temple_53.jpg,a tall tower with a clock on top
brihadeeswara_temple_73.jpg,a black and white photo of a temple
brihadeeswara_temple_70.jpg,a group of people walking around a large temple
brihadeeswara_temple_94.jpg,"the gopuram temple, orissa, orissa, karnataka, india - stock image"
brihadeeswara_temple_26.jpg,the ancient temples of hamesh
brihadeeswara_temple_40.jpg,the entrance to the temple at hamesh
brihadeeswara_temple_100.jpg,Error opening image: cannot identify image file '/content/brihadeeswara_temple/brihadeeswara_temple_100.jpg'
brihadeeswara_temple_86.jpg,a large building with a sky background
brihadeeswara_temple_22.jpg,"the sun temple, hamesh, hamesh district, hamesh district, hamesh district,"
brihadeeswara_temple_45.jpg,"the entrance to the temple in hamesh, india"
brihadeeswara_temple_11.jpg,the ancient city of hamesh in karnataka
brihadeeswara_temple_61.jpg,the entrance to the temple
brihadeeswara_temple_63.jpg,a group of people walking around a large temple
brihadeeswara_temple_96.jpg,the temple of the hindu temple in the city of ahmedabad
brihadeeswara_temple_46.jpg,a large building with a tower and a clock
brihadeeswara_temple_36.jpg,a very old temple
brihadeeswara_temple_62.jpg,a large stone structure
brihadeeswara_temple_89.jpg,"the temple of hamesh in hamesh, karnataka"
brihadeeswara_temple_57.jpg,a large stone structure
brihadeeswara_temple_18.jpg,"the temple of the sun temple in hamesh, karnataka"
brihadeeswara_temple_68.jpg,the temple at hamesh
brihadeeswara_temple_56.jpg,the temple at hamesh
brihadeeswara_temple_43.jpg,the entrance to the temple at hamesh
brihadeeswara_temple_4.jpg,a large building with a tower and a tree
brihadeeswara_temple_74.jpg,a group of people walking up a set of steps
brihadeeswara_temple_92.jpg,a group of people standing around a large building
brihadeeswara_temple_77.jpg,a very old building
brihadeeswara_temple_1.jpg,the temple at hamesha
brihadeeswara_temple_51.jpg,the temple is made of stone
brihadeeswara_temple_12.jpg,a large temple with a clock on the top
brihadeeswara_temple_15.jpg,the temple at hamesh
brihadeeswara_temple_37.jpg,a very ornate building with a clock on top
brihadeeswara_temple_27.jpg,a large stone structure
brihadeeswara_temple_67.jpg,the great sphinx statue at the entrance to the great temple in sri
brihadeeswara_temple_85.jpg,the sun sets over the temple at the vidha
brihadeeswara_temple_10.jpg,the temple is very ornate
brihadeeswara_temple_75.jpg,the temples of india
brihadeeswara_temple_47.jpg,the temple is made of stone
brihadeeswara_temple_38.jpg,"the sun temple in hamesh, karnataka"
brihadeeswara_temple_17.jpg,a large brown building
brihadeeswara_temple_71.jpg,a statue of lord person in the temple
