Image Name,Caption
taj_mahal_1.jpg,a man standing in front of a white building
taj_mahal_10.jpg,a group of people taking a picture of the ta ta ta ta ta ta ta ta ta ta
taj_mahal_100.jpg,a man sitting on the steps of ta ta ta ta ta ta ta ta ta ta ta ta
taj_mahal_11.jpg,a group of people posing for a picture
taj_mahal_12.jpg,a woman sitting on a ledge
taj_mahal_13.jpg,a woman in a red dress standing in front of the ta ta ta ta ta ta ta ta
taj_mahal_14.jpg,a crowd of people
taj_mahal_15.jpg,a man and woman standing in front of a building
taj_mahal_16.jpg,"people gather at the taj mahal, the taj mahal, in india"
taj_mahal_17.jpg,people are playing in front of the ta ta ta ta ta ta ta ta ta ta ta ta
taj_mahal_18.jpg,a group of people standing around a pool
taj_mahal_19.jpg,a man and woman posing for a photo in front of the ta ta ta ta ta ta ta
taj_mahal_2.jpg,a group of people standing around a pool
taj_mahal_21.jpg,a group of people standing in front of a ta
taj_mahal_22.jpg,the ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta
taj_mahal_23.jpg,a group of people standing around a pool
taj_mahal_24.jpg,people walking in front of the ta ta ta ta ta ta ta ta ta ta ta ta ta
taj_mahal_25.jpg,a man and woman standing in front of a building
taj_mahal_26.jpg,three women sitting on the floor in front of the ta ta ta ta ta ta ta ta ta
taj_mahal_27.jpg,ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta
taj_mahal_28.jpg,ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta
taj_mahal_29.jpg,a woman in a green sari
taj_mahal_3.jpg,a woman taking a picture of a ta ta ta ta ta ta ta ta ta ta ta ta
taj_mahal_30.jpg,a cartoon depicting the concept of the islamic world
taj_mahal_31.jpg,a woman in an orange dress standing in front of a building
taj_mahal_32.jpg,the ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta
taj_mahal_33.jpg,ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta
taj_mahal_34.jpg,a crowd of people
